구명,시설분류,주차장명,사용상태,충전기타입,수집시간
강남구,관광시설,SETEC,사용가능,급속,2021-08-16 11:55:18.350448
강남구,관광시설,SETEC,사용중,급속,2021-08-16 12:54:47.201700
강남구,관광시설,SETEC,사용가능,급속,2021-08-16 13:54:44.860567
강남구,관광시설,SETEC,사용가능,급속,2021-08-16 15:54:46.045795
강남구,관광시설,SETEC,사용중,급속,2021-08-16 17:52:28.032247
강남구,관광시설,SETEC,사용중,급속,2021-08-16 18:54:45.709598
강남구,관광시설,SETEC,사용가능,급속,2021-08-16 19:54:44.036162
강남구,관광시설,SETEC,사용가능,급속,2021-08-16 20:54:43.877995
강남구,관광시설,SETEC,사용가능,급속,2021-08-16 21:54:47.157483
강남구,관광시설,SETEC,사용가능,급속,2021-08-16 22:54:45.778458
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-16 11:55:10.943385
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-16 12:54:39.929229
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-16 13:54:37.553659
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-16 15:54:38.702397
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-16 17:52:20.724852
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-16 18:54:38.337464
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-16 19:54:36.752131
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-16 20:54:36.605605
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-16 21:54:39.827423
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-16 22:54:38.355145
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용중,급속,2021-08-16 11:55:10.943385
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용중,급속,2021-08-16 12:54:39.929229
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용중,급속,2021-08-16 13:54:37.553659
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용중,급속,2021-08-16 15:54:38.702397
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용중,급속,2021-08-16 17:52:20.724852
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용중,급속,2021-08-16 18:54:38.337464
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용중,급속,2021-08-16 19:54:36.752131
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용중,급속,2021-08-16 20:54:36.605605
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용중,급속,2021-08-16 21:54:39.827423
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용중,급속,2021-08-16 22:54:38.355145
강남구,주차시설,강남치매지원센터 공영노외주차장,사용가능,급속,2021-08-16 11:55:13.553213
강남구,주차시설,강남치매지원센터 공영노외주차장,사용가능,급속,2021-08-16 12:54:42.563019
강남구,주차시설,강남치매지원센터 공영노외주차장,사용가능,급속,2021-08-16 13:54:40.116382
강남구,주차시설,강남치매지원센터 공영노외주차장,사용가능,급속,2021-08-16 15:54:41.309723
강남구,주차시설,강남치매지원센터 공영노외주차장,사용가능,급속,2021-08-16 17:52:23.365069
강남구,주차시설,강남치매지원센터 공영노외주차장,사용가능,급속,2021-08-16 18:54:40.939948
강남구,주차시설,강남치매지원센터 공영노외주차장,사용가능,급속,2021-08-16 19:54:39.357777
강남구,주차시설,강남치매지원센터 공영노외주차장,사용가능,급속,2021-08-16 20:54:39.194317
강남구,주차시설,강남치매지원센터 공영노외주차장,사용가능,급속,2021-08-16 21:54:42.419431
강남구,주차시설,강남치매지원센터 공영노외주차장,사용가능,급속,2021-08-16 22:54:41.017342
강남구,주차시설,개포동공원 공영주차장,사용가능,급속,2021-08-16 11:55:13.553213
강남구,주차시설,개포동공원 공영주차장,사용가능,급속,2021-08-16 12:54:42.563019
강남구,주차시설,개포동공원 공영주차장,사용가능,급속,2021-08-16 13:54:40.116382
강남구,주차시설,개포동공원 공영주차장,사용가능,급속,2021-08-16 15:54:41.309723
강남구,주차시설,개포동공원 공영주차장,사용가능,급속,2021-08-16 17:52:23.365069
강남구,주차시설,개포동공원 공영주차장,사용가능,급속,2021-08-16 18:54:40.939948
강남구,주차시설,개포동공원 공영주차장,사용가능,급속,2021-08-16 19:54:39.357777
강남구,주차시설,개포동공원 공영주차장,사용가능,급속,2021-08-16 20:54:39.194317
강남구,주차시설,개포동공원 공영주차장,사용가능,급속,2021-08-16 21:54:42.419431
강남구,주차시설,개포동공원 공영주차장,사용가능,급속,2021-08-16 22:54:41.017342
강남구,상업시설,노보텔,사용가능,급속,2021-08-16 11:55:20.737935
강남구,상업시설,노보텔,사용가능,급속,2021-08-16 12:54:49.543259
강남구,상업시설,노보텔,사용가능,급속,2021-08-16 13:54:47.195350
강남구,상업시설,노보텔,사용가능,급속,2021-08-16 15:54:48.362539
강남구,상업시설,노보텔,사용가능,급속,2021-08-16 17:52:30.436910
강남구,상업시설,노보텔,사용가능,급속,2021-08-16 18:54:48.059592
강남구,상업시설,노보텔,사용가능,급속,2021-08-16 19:54:46.364693
강남구,상업시설,노보텔,사용가능,급속,2021-08-16 20:54:46.206543
강남구,상업시설,노보텔,사용가능,급속,2021-08-16 21:54:49.501346
강남구,상업시설,노보텔,사용가능,급속,2021-08-16 22:54:48.165918
강남구,주차시설,논현로22길 공영주차장,사용가능,급속,2021-08-16 11:55:13.553213
강남구,주차시설,논현로22길 공영주차장,사용가능,급속,2021-08-16 12:54:42.563019
강남구,주차시설,논현로22길 공영주차장,사용가능,급속,2021-08-16 13:54:40.116382
강남구,주차시설,논현로22길 공영주차장,사용가능,급속,2021-08-16 15:54:41.309723
강남구,주차시설,논현로22길 공영주차장,사용가능,급속,2021-08-16 17:52:23.365069
강남구,주차시설,논현로22길 공영주차장,사용가능,급속,2021-08-16 18:54:40.939948
강남구,주차시설,논현로22길 공영주차장,사용가능,급속,2021-08-16 19:54:39.357777
강남구,주차시설,논현로22길 공영주차장,사용가능,급속,2021-08-16 20:54:39.194317
강남구,주차시설,논현로22길 공영주차장,사용가능,급속,2021-08-16 21:54:42.419431
강남구,주차시설,논현로22길 공영주차장,사용가능,급속,2021-08-16 22:54:41.017342
강남구,주차시설,논현초교 공영노외주차장,사용가능,급속,2021-08-16 11:55:13.553213
강남구,주차시설,논현초교 공영노외주차장,사용가능,급속,2021-08-16 12:54:42.563019
강남구,주차시설,논현초교 공영노외주차장,사용가능,급속,2021-08-16 13:54:40.116382
강남구,주차시설,논현초교 공영노외주차장,사용가능,급속,2021-08-16 15:54:41.309723
강남구,주차시설,논현초교 공영노외주차장,사용가능,급속,2021-08-16 17:52:23.365069
강남구,주차시설,논현초교 공영노외주차장,사용가능,급속,2021-08-16 18:54:40.939948
강남구,주차시설,논현초교 공영노외주차장,사용가능,급속,2021-08-16 19:54:39.357777
강남구,주차시설,논현초교 공영노외주차장,사용가능,급속,2021-08-16 20:54:39.194317
강남구,주차시설,논현초교 공영노외주차장,사용가능,급속,2021-08-16 21:54:42.419431
강남구,주차시설,논현초교 공영노외주차장,사용가능,급속,2021-08-16 22:54:41.017342
강남구,주차시설,대청역 공영주차장,사용가능,급속,2021-08-16 11:55:13.553213
강남구,주차시설,대청역 공영주차장,사용가능,급속,2021-08-16 12:54:42.563019
강남구,주차시설,대청역 공영주차장,사용가능,급속,2021-08-16 13:54:40.116382
강남구,주차시설,대청역 공영주차장,사용중,급속,2021-08-16 15:54:41.309723
강남구,주차시설,대청역 공영주차장,사용가능,급속,2021-08-16 17:52:23.365069
강남구,주차시설,대청역 공영주차장,사용가능,급속,2021-08-16 18:54:40.939948
강남구,주차시설,대청역 공영주차장,사용가능,급속,2021-08-16 19:54:39.357777
강남구,주차시설,대청역 공영주차장,사용가능,급속,2021-08-16 20:54:39.194317
강남구,주차시설,대청역 공영주차장,사용가능,급속,2021-08-16 21:54:42.419431
강남구,주차시설,대청역 공영주차장,사용가능,급속,2021-08-16 22:54:41.018338
강남구,주차시설,수서역 공영주차장,사용가능,급속,2021-08-16 11:55:13.553213
강남구,주차시설,수서역 공영주차장,사용가능,급속,2021-08-16 12:54:42.563019
강남구,주차시설,수서역 공영주차장,사용가능,급속,2021-08-16 13:54:40.116382
강남구,주차시설,수서역 공영주차장,사용가능,급속,2021-08-16 15:54:41.309723
강남구,주차시설,수서역 공영주차장,사용가능,급속,2021-08-16 17:52:23.365069
강남구,주차시설,수서역 공영주차장,사용가능,급속,2021-08-16 18:54:40.939948
강남구,주차시설,수서역 공영주차장,사용가능,급속,2021-08-16 19:54:39.357777
강남구,주차시설,수서역 공영주차장,사용가능,급속,2021-08-16 20:54:39.194317
강남구,주차시설,수서역 공영주차장,사용가능,급속,2021-08-16 21:54:42.419431
강남구,주차시설,수서역 공영주차장,사용가능,급속,2021-08-16 22:54:41.018338
강남구,주차시설,압구정 428 공영주차장1,사용가능,급속,2021-08-16 11:55:13.553621
강남구,주차시설,압구정 428 공영주차장1,사용가능,급속,2021-08-16 12:54:42.563019
강남구,주차시설,압구정 428 공영주차장1,사용가능,급속,2021-08-16 13:54:40.116382
강남구,주차시설,압구정 428 공영주차장1,사용가능,급속,2021-08-16 15:54:41.309723
강남구,주차시설,압구정 428 공영주차장1,사용가능,급속,2021-08-16 17:52:23.365069
강남구,주차시설,압구정 428 공영주차장1,사용가능,급속,2021-08-16 18:54:40.939948
