구명,시설분류,주차장명,사용상태,충전기타입,수집시간,동
강남구,관광시설,SETEC,사용가능,급속,2021-08-18 10:05:53.430625,대치동
강남구,관광시설,SETEC,사용중,급속,2021-08-18 11:05:22.839749,대치동
강남구,관광시설,SETEC,사용가능,급속,2021-08-18 12:05:22.391825,대치동
강남구,관광시설,SETEC,사용가능,급속,2021-08-18 13:05:27.475507,대치동
강남구,관광시설,SETEC,사용중,급속,2021-08-18 14:43:42.742611,대치동
강남구,관광시설,SETEC,사용가능,급속,2021-08-18 16:28:27.335572,대치동
강남구,관광시설,SETEC,사용가능,급속,2021-08-18 18:45:48.018126,대치동
강남구,관광시설,SETEC,사용가능,급속,2021-08-18 20:51:10.838177,대치동
강남구,관광시설,SETEC,사용가능,급속,2021-08-18 21:56:34.490575,대치동
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-18 10:05:46.161942,개포동
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-18 11:05:15.458146,개포동
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-18 12:05:14.980395,개포동
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-18 13:05:20.218012,개포동
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-18 14:43:35.251980,개포동
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-18 16:28:19.576752,개포동
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-18 18:45:40.286905,개포동
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-18 20:51:03.472972,개포동
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-18 21:56:27.064851,개포동
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용중,급속,2021-08-18 10:05:46.161942,삼성동
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용중,급속,2021-08-18 11:05:15.458146,삼성동
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용중,급속,2021-08-18 12:05:14.980395,삼성동
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용불가,급속,2021-08-18 13:05:20.218012,삼성동
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용불가,급속,2021-08-18 14:43:35.251980,삼성동
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용불가,급속,2021-08-18 16:28:19.576752,삼성동
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용불가,급속,2021-08-18 18:45:40.286905,삼성동
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용불가,급속,2021-08-18 20:51:03.472972,삼성동
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용불가,급속,2021-08-18 21:56:27.064851,삼성동
강남구,주차시설,강남치매지원센터 공영노외주차장,사용중,급속,2021-08-18 10:05:48.712675,삼성동
강남구,주차시설,강남치매지원센터 공영노외주차장,사용가능,급속,2021-08-18 11:05:18.061230,삼성동
강남구,주차시설,강남치매지원센터 공영노외주차장,사용중,급속,2021-08-18 12:05:17.545945,삼성동
강남구,주차시설,강남치매지원센터 공영노외주차장,사용가능,급속,2021-08-18 13:05:22.789330,삼성동
강남구,주차시설,강남치매지원센터 공영노외주차장,사용가능,급속,2021-08-18 14:43:38.006910,삼성동
강남구,주차시설,강남치매지원센터 공영노외주차장,사용가능,급속,2021-08-18 16:28:22.553793,삼성동
강남구,주차시설,강남치매지원센터 공영노외주차장,사용가능,급속,2021-08-18 18:45:42.935902,삼성동
강남구,주차시설,강남치매지원센터 공영노외주차장,사용가능,급속,2021-08-18 20:51:06.050772,삼성동
강남구,주차시설,강남치매지원센터 공영노외주차장,사용가능,급속,2021-08-18 21:56:29.637281,삼성동
강남구,주차시설,개포동공원 공영주차장,사용가능,급속,2021-08-18 10:05:48.712675,개포동
강남구,주차시설,개포동공원 공영주차장,사용가능,급속,2021-08-18 11:05:18.061230,개포동
강남구,주차시설,개포동공원 공영주차장,사용가능,급속,2021-08-18 12:05:17.545945,개포동
강남구,주차시설,개포동공원 공영주차장,사용중,급속,2021-08-18 13:05:22.789330,개포동
강남구,주차시설,개포동공원 공영주차장,사용가능,급속,2021-08-18 14:43:38.006910,개포동
강남구,주차시설,개포동공원 공영주차장,사용가능,급속,2021-08-18 16:28:22.553793,개포동
강남구,주차시설,개포동공원 공영주차장,사용가능,급속,2021-08-18 18:45:42.935902,개포동
강남구,주차시설,개포동공원 공영주차장,사용중,급속,2021-08-18 20:51:06.050772,개포동
강남구,주차시설,개포동공원 공영주차장,사용가능,급속,2021-08-18 21:56:29.637281,개포동
강남구,상업시설,노보텔,사용가능,급속,2021-08-18 10:05:55.826658,역삼동
강남구,상업시설,노보텔,사용가능,급속,2021-08-18 11:05:25.350766,역삼동
강남구,상업시설,노보텔,사용가능,급속,2021-08-18 12:05:24.793100,역삼동
강남구,상업시설,노보텔,사용가능,급속,2021-08-18 13:05:29.851197,역삼동
강남구,상업시설,노보텔,사용가능,급속,2021-08-18 14:43:45.205775,역삼동
강남구,상업시설,노보텔,사용가능,급속,2021-08-18 16:28:29.762769,역삼동
강남구,상업시설,노보텔,사용가능,급속,2021-08-18 18:45:50.500605,역삼동
강남구,상업시설,노보텔,사용가능,급속,2021-08-18 20:51:13.204287,역삼동
강남구,상업시설,노보텔,사용가능,급속,2021-08-18 21:56:36.810346,역삼동
강남구,주차시설,논현로22길 공영주차장,사용가능,급속,2021-08-18 10:05:48.712675,개포동
강남구,주차시설,논현로22길 공영주차장,사용가능,급속,2021-08-18 11:05:18.061230,개포동
강남구,주차시설,논현로22길 공영주차장,사용가능,급속,2021-08-18 12:05:17.545945,개포동
강남구,주차시설,논현로22길 공영주차장,사용중,급속,2021-08-18 13:05:22.789330,개포동
강남구,주차시설,논현로22길 공영주차장,사용가능,급속,2021-08-18 14:43:38.006910,개포동
강남구,주차시설,논현로22길 공영주차장,사용중,급속,2021-08-18 16:28:22.553793,개포동
강남구,주차시설,논현로22길 공영주차장,사용가능,급속,2021-08-18 18:45:42.935902,개포동
강남구,주차시설,논현로22길 공영주차장,사용가능,급속,2021-08-18 20:51:06.050772,개포동
강남구,주차시설,논현로22길 공영주차장,사용가능,급속,2021-08-18 21:56:29.637281,개포동
강남구,주차시설,논현초교 공영노외주차장,사용중,급속,2021-08-18 10:05:48.712675,논현동
강남구,주차시설,논현초교 공영노외주차장,사용가능,급속,2021-08-18 11:05:18.061230,논현동
강남구,주차시설,논현초교 공영노외주차장,사용가능,급속,2021-08-18 12:05:17.545945,논현동
강남구,주차시설,논현초교 공영노외주차장,사용가능,급속,2021-08-18 13:05:22.789330,논현동
강남구,주차시설,논현초교 공영노외주차장,사용가능,급속,2021-08-18 14:43:38.006910,논현동
강남구,주차시설,논현초교 공영노외주차장,사용가능,급속,2021-08-18 16:28:22.553793,논현동
강남구,주차시설,논현초교 공영노외주차장,사용가능,급속,2021-08-18 18:45:42.935902,논현동
강남구,주차시설,논현초교 공영노외주차장,사용가능,급속,2021-08-18 20:51:06.050772,논현동
강남구,주차시설,논현초교 공영노외주차장,사용가능,급속,2021-08-18 21:56:29.637281,논현동
강남구,주차시설,대청역 공영주차장,사용가능,급속,2021-08-18 10:05:48.712675,개포동
강남구,주차시설,대청역 공영주차장,사용가능,급속,2021-08-18 11:05:18.061230,개포동
강남구,주차시설,대청역 공영주차장,사용가능,급속,2021-08-18 12:05:17.545945,개포동
강남구,주차시설,대청역 공영주차장,사용가능,급속,2021-08-18 13:05:22.789330,개포동
