구명,시설분류,주차장명,사용상태,충전기타입,수집시간
강남구,기타시설,(사)국가안보전략연구원,사용가능,완속,2021-08-26 11:38:42.256206
강남구,기타시설,(사)국가안보전략연구원,사용가능,완속,2021-08-26 12:16:19.588009
강남구,기타시설,(사)국가안보전략연구원,사용가능,완속,2021-08-26 13:23:27.093547
강남구,기타시설,(사)국가안보전략연구원,사용가능,완속,2021-08-26 14:15:16.637513
강남구,기타시설,(사)국가안보전략연구원,사용가능,완속,2021-08-26 15:32:22.176305
강남구,기타시설,(사)국가안보전략연구원,사용가능,완속,2021-08-26 16:27:49.015203
강남구,기타시설,(사)국가안보전략연구원,사용가능,완속,2021-08-26 17:21:44.449306
강남구,기타시설,(사)국가안보전략연구원,사용가능,완속,2021-08-26 18:02:09.001303
강남구,기타시설,(사)국가안보전략연구원,사용가능,완속,2021-08-26 19:11:51.802750
강남구,기타시설,(사)국가안보전략연구원,사용가능,완속,2021-08-26 20:07:51.932619
강남구,기타시설,(사)국가안보전략연구원,사용가능,완속,2021-08-26 21:07:54.636516
강남구,기타시설,(사)국가안보전략연구원,사용가능,완속,2021-08-26 22:13:21.232923
강남구,기타시설,(사)국가안보전략연구원,사용가능,완속,2021-08-26 23:07:35.924323
강남구,공동주택시설,GS강동자이 아파트,상태미확인(제한),완속,2021-08-26 11:38:19.583416
강남구,공동주택시설,GS강동자이 아파트,상태미확인(제한),완속,2021-08-26 12:13:52.121763
강남구,공동주택시설,GS강동자이 아파트,상태미확인(제한),완속,2021-08-26 13:23:04.331247
강남구,공동주택시설,GS강동자이 아파트,상태미확인(제한),완속,2021-08-26 14:13:14.545509
강남구,공동주택시설,GS강동자이 아파트,상태미확인(제한),완속,2021-08-26 15:29:41.284340
강남구,공동주택시설,GS강동자이 아파트,상태미확인(제한),완속,2021-08-26 16:25:39.060621
강남구,공동주택시설,GS강동자이 아파트,상태미확인(제한),완속,2021-08-26 17:21:22.242111
강남구,공동주택시설,GS강동자이 아파트,상태미확인(제한),완속,2021-08-26 18:01:46.990916
강남구,공동주택시설,GS강동자이 아파트,상태미확인(제한),완속,2021-08-26 19:10:23.631796
강남구,공동주택시설,GS강동자이 아파트,상태미확인(제한),완속,2021-08-26 20:06:24.215672
