구명,시설분류,주차장명,사용상태,충전기타입,수집시간
강남구,기타시설,(사)국가안보전략연구원,사용중,완속,2021-08-27 11:08:07.843357
강남구,기타시설,(사)국가안보전략연구원,사용가능,완속,2021-08-27 12:15:12.857325
강남구,기타시설,(사)국가안보전략연구원,사용가능,완속,2021-08-27 13:27:13.085932
강남구,기타시설,(사)국가안보전략연구원,사용가능,완속,2021-08-27 14:47:36.129573
강남구,기타시설,(사)국가안보전략연구원,사용가능,완속,2021-08-27 15:32:05.672789
강남구,기타시설,(사)국가안보전략연구원,사용가능,완속,2021-08-27 16:30:40.108771
강남구,기타시설,(사)국가안보전략연구원,사용가능,완속,2021-08-27 17:21:26.897914
강남구,기타시설,(사)국가안보전략연구원,사용가능,완속,2021-08-27 18:03:39.680229
강남구,기타시설,(사)국가안보전략연구원,사용가능,완속,2021-08-27 19:04:24.568682
강남구,기타시설,(사)국가안보전략연구원,사용가능,완속,2021-08-27 20:01:51.248643
강남구,기타시설,(사)국가안보전략연구원,사용가능,완속,2021-08-27 21:09:54.490855
강남구,기타시설,(사)국가안보전략연구원,사용가능,완속,2021-08-27 22:07:05.429223
강남구,기타시설,(사)국가안보전략연구원,사용가능,완속,2021-08-27 23:23:47.513867
강남구,공동주택시설,GS강동자이 아파트,상태미확인(제한),완속,2021-08-27 11:07:38.154745
강남구,공동주택시설,GS강동자이 아파트,상태미확인(제한),완속,2021-08-27 12:13:15.638478
강남구,공동주택시설,GS강동자이 아파트,상태미확인(제한),완속,2021-08-27 13:25:19.458938
강남구,공동주택시설,GS강동자이 아파트,상태미확인(제한),완속,2021-08-27 14:47:11.490943
강남구,공동주택시설,GS강동자이 아파트,상태미확인(제한),완속,2021-08-27 15:31:42.803360
강남구,공동주택시설,GS강동자이 아파트,상태미확인(제한),완속,2021-08-27 16:28:57.219193
강남구,공동주택시설,GS강동자이 아파트,상태미확인(제한),완속,2021-08-27 17:21:02.652850
강남구,공동주택시설,GS강동자이 아파트,상태미확인(제한),완속,2021-08-27 18:02:10.677408
강남구,공동주택시설,GS강동자이 아파트,상태미확인(제한),완속,2021-08-27 19:02:35.896567
강남구,공동주택시설,GS강동자이 아파트,상태미확인(제한),완속,2021-08-27 20:00:21.889633
강남구,공동주택시설,GS강동자이 아파트,상태미확인(제한),완속,2021-08-27 21:08:26.969199
강남구,공동주택시설,GS강동자이 아파트,상태미확인(제한),완속,2021-08-27 22:05:13.835485
강남구,공동주택시설,GS강동자이 아파트,상태미확인(제한),완속,2021-08-27 23:22:20.700627
강남구,상업시설,GS타워주유소,상태미확인,급속,2021-08-27 11:06:52.619017
강남구,상업시설,GS타워주유소,상태미확인,급속,2021-08-27 12:08:10.208392
강남구,상업시설,GS타워주유소,상태미확인,급속,2021-08-27 13:24:18.626843
강남구,상업시설,GS타워주유소,상태미확인,급속,2021-08-27 14:46:45.329624
강남구,상업시설,GS타워주유소,상태미확인,급속,2021-08-27 15:31:17.595357
강남구,상업시설,GS타워주유소,상태미확인,급속,2021-08-27 16:27:33.258999
강남구,상업시설,GS타워주유소,상태미확인,급속,2021-08-27 17:20:35.957879
강남구,상업시설,GS타워주유소,상태미확인,급속,2021-08-27 18:01:15.402038
